method,seed,step,episode,episode_return,total_cost,n_served,n_customers,terminated,truncated,n_on_time,n_waited,n_late
gnn_dqn_r0,42,0,0,-12.754627745986639,22.75462774598664,15,15,1,0,8.0,6.0,1.0
gnn_dqn_r0,43,0,1,6.7306883018316555,13.269311698168345,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0,44,0,2,0.4310180674521966,19.568981932547803,15,15,1,0,5.0,10.0,0.0
gnn_dqn_r0,45,0,3,5.576877669586246,14.423122330413754,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0,46,0,4,-9.888961826502866,19.888961826502864,15,15,1,0,8.0,6.0,1.0
gnn_dqn_r0,47,0,5,4.782558116488801,15.2174418835112,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0,48,0,6,6.488714540409742,13.511285459590258,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0,49,0,7,-2.6233568172873873,22.623356817287387,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0,50,0,8,6.212183527864029,13.78781647213597,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0,51,0,9,5.0087458964281275,14.991254103571872,15,15,1,0,6.0,9.0,0.0
gnn_dqn_r0,52,0,10,-6.742143977092827,16.742143977092827,15,15,1,0,6.0,8.0,1.0
gnn_dqn_r0,53,0,11,0.023020147914600386,19.9769798520854,15,15,1,0,6.0,9.0,0.0
gnn_dqn_r0,54,0,12,-6.8285476397565645,26.828547639756565,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0,55,0,13,4.117325168822756,15.882674831177244,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0,56,0,14,-0.04491477606314476,20.044914776063145,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0,57,0,15,4.369298261544557,15.630701738455443,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0,58,0,16,-7.653809458077156,17.653809458077156,15,15,1,0,8.0,6.0,1.0
gnn_dqn_r0,59,0,17,0.17559532153835633,19.824404678461644,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0,60,0,18,-22.66658879091898,22.66658879091898,15,15,1,0,5.0,8.0,2.0
gnn_dqn_r0,61,0,19,-11.380160423104822,21.380160423104822,15,15,1,0,7.0,7.0,1.0
gnn_dqn_r0,62,0,20,4.659151481766102,15.340848518233898,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0,63,0,21,0.6608403793721109,19.33915962062789,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0,64,0,22,4.973384439377966,15.026615560622034,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0,65,0,23,6.21522667860947,13.78477332139053,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0,66,0,24,5.726541790295165,14.273458209704835,15,15,1,0,10.0,5.0,0.0
gnn_dqn_r0,67,0,25,-24.397259280362682,24.397259280362682,15,15,1,0,5.0,8.0,2.0
gnn_dqn_r0,68,0,26,0.6171378640857341,19.382862135914266,15,15,1,0,6.0,9.0,0.0
gnn_dqn_r0,69,0,27,-1.9196309924982415,21.91963099249824,15,15,1,0,6.0,9.0,0.0
gnn_dqn_r0,70,0,28,3.457048039465768,16.542951960534232,15,15,1,0,5.0,10.0,0.0
gnn_dqn_r0,71,0,29,5.299178830649595,14.700821169350405,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0,72,0,30,-20.8675545602535,20.8675545602535,15,15,1,0,6.0,7.0,2.0
gnn_dqn_r0,73,0,31,2.0282050617833844,17.971794938216615,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0,74,0,32,-2.6744720099860757,22.674472009986076,15,15,1,0,6.0,9.0,0.0
gnn_dqn_r0,75,0,33,-11.571070949037846,21.571070949037846,15,15,1,0,7.0,7.0,1.0
gnn_dqn_r0,76,0,34,-15.927518756367757,15.927518756367757,15,15,1,0,8.0,5.0,2.0
gnn_dqn_r0,77,0,35,-5.865794512471709,15.865794512471709,15,15,1,0,7.0,7.0,1.0
gnn_dqn_r0,78,0,36,7.093937980492438,12.906062019507562,15,15,1,0,10.0,5.0,0.0
gnn_dqn_r0,79,0,37,3.783344874731707,16.216655125268293,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0,80,0,38,-4.264324716975697,14.264324716975697,15,15,1,0,6.0,8.0,1.0
gnn_dqn_r0,81,0,39,6.259454972104415,13.740545027895585,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0,82,0,40,-4.775068661266872,14.775068661266872,15,15,1,0,7.0,7.0,1.0
gnn_dqn_r0,83,0,41,1.9413729644657067,18.058627035534293,15,15,1,0,6.0,9.0,0.0
gnn_dqn_r0,84,0,42,3.1182413071756514,16.88175869282435,15,15,1,0,10.0,5.0,0.0
gnn_dqn_r0,85,0,43,1.1209015657909482,18.87909843420905,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0,86,0,44,2.746151656507699,17.2538483434923,15,15,1,0,4.0,11.0,0.0
gnn_dqn_r0,87,0,45,2.1278843655138964,17.872115634486104,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0,88,0,46,2.796700174468807,17.203299825531193,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0,89,0,47,-9.456580589757223,19.456580589757223,15,15,1,0,7.0,7.0,1.0
gnn_dqn_r0,90,0,48,-13.343629664916794,23.343629664916794,15,15,1,0,10.0,4.0,1.0
gnn_dqn_r0,91,0,49,-1.7976624925915559,21.797662492591556,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0,92,0,50,-9.748227831414702,19.748227831414702,15,15,1,0,6.0,8.0,1.0
gnn_dqn_r0,93,0,51,2.360447649687364,17.639552350312634,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0,94,0,52,8.080897332955962,11.919102667044038,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0,95,0,53,7.3669470072914205,12.63305299270858,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0,96,0,54,-8.823112862083804,18.823112862083804,15,15,1,0,8.0,6.0,1.0
gnn_dqn_r0,97,0,55,2.9492677790243853,17.050732220975615,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0,98,0,56,3.048749636151628,16.951250363848374,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0,99,0,57,2.3488250585349775,17.651174941465023,15,15,1,0,6.0,9.0,0.0
gnn_dqn_r0,100,0,58,-9.53768338128262,19.53768338128262,15,15,1,0,6.0,8.0,1.0
gnn_dqn_r0,101,0,59,7.137402515577294,12.862597484422706,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0,102,0,60,-14.747240036716779,14.747240036716779,15,15,1,0,6.0,7.0,2.0
gnn_dqn_r0,103,0,61,-17.012228309010407,17.012228309010407,15,15,1,0,6.0,7.0,2.0
gnn_dqn_r0,104,0,62,3.1746060268204914,16.82539397317951,15,15,1,0,9.0,6.0,0.0
gnn_dqn_r0,105,0,63,5.031002910538081,14.968997089461919,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0,106,0,64,-12.348840675825407,12.348840675825405,15,15,1,0,8.0,5.0,2.0
gnn_dqn_r0,107,0,65,0.9547027002537227,19.045297299746277,15,15,1,0,7.0,8.0,0.0
gnn_dqn_r0,108,0,66,1.6881507042933706,18.31184929570663,15,15,1,0,6.0,9.0,0.0
gnn_dqn_r0,109,0,67,-7.462590393293457,17.462590393293457,15,15,1,0,7.0,7.0,1.0
gnn_dqn_r0,110,0,68,7.726994601310938,12.273005398689062,15,15,1,0,8.0,7.0,0.0
gnn_dqn_r0,111,0,69,2.021294642751826,17.978705357248174,15,15,1,0,7.0,8.0,0.0
