method,seed,step,episode,episode_return,total_cost,n_served,n_customers,terminated,truncated,n_on_time,n_waited,n_late
gnn_dqn,42-46,1000,50,-83.19086246313633,29.19086246313633,15.0,15,1.0,0.0,4.8,2.8,7.4
gnn_dqn,42-46,2000,100,-94.12734956063778,30.12734956063777,15.0,15,1.0,0.0,4.2,2.4,8.4
gnn_dqn,42-46,3000,150,-73.31443648085494,23.31443648085493,15.0,15,1.0,0.0,5.0,3.0,7.0
gnn_dqn,42-46,4000,199,-57.1576138332234,25.1576138332234,15.0,15,1.0,0.0,5.6,4.2,5.2
gnn_dqn,42-46,5000,246,-53.18769526245937,25.18769526245937,15.0,15,1.0,0.0,5.6,4.6,4.8
gnn_dqn,42-46,6000,292,-31.958916994158006,21.958916994158006,15.0,15,1.0,0.0,6.8,5.2,3.0
gnn_dqn,42-46,7000,338,-27.47779320408291,21.477793204082914,15.0,15,1.0,0.0,6.8,5.6,2.6
gnn_dqn,42-46,8000,382,-24.546273790495114,20.546273790495114,15.0,15,1.0,0.0,6.8,5.8,2.4
gnn_dqn,42-46,9000,427,-34.341884066758276,24.341884066758276,15.0,15,1.0,0.0,7.2,4.8,3.0
gnn_dqn,42-46,10000,471,-21.38321413027955,23.38321413027955,15.0,15,1.0,0.0,6.4,6.8,1.8
gnn_dqn,42-46,11000,519,-7.592972431241996,21.592972431241996,15.0,15,1.0,0.0,8.2,6.2,0.6
gnn_dqn,42-46,12000,566,-1.266337106982879,21.26633710698288,15.0,15,1.0,0.0,7.6,7.4,0.0
gnn_dqn,42-46,13000,617,-1.3658216024296481,21.365821602429648,15.0,15,1.0,0.0,8.0,7.0,0.0
gnn_dqn,42-46,14000,668,-0.43982725702401043,20.43982725702401,15.0,15,1.0,0.0,6.6,8.4,0.0
gnn_dqn,42-46,15000,718,-2.7159065953794217,18.715906595379423,15.0,15,1.0,0.0,6.8,7.8,0.4
gnn_dqn,42-46,16000,766,-1.9420888658479085,21.94208886584791,15.0,15,1.0,0.0,7.2,7.8,0.0
gnn_dqn,42-46,17000,816,-2.17008909680825,22.170089096808248,15.0,15,1.0,0.0,7.2,7.8,0.0
gnn_dqn,42-46,18000,866,-0.9364954049660745,20.936495404966074,15.0,15,1.0,0.0,8.4,6.6,0.0
gnn_dqn,42-46,19000,918,-1.8613560488286474,19.861356048828647,15.0,15,1.0,0.0,8.0,6.8,0.2
gnn_dqn,42-46,20000,970,-2.546991723613989,18.546991723613985,15.0,15,1.0,0.0,8.0,6.6,0.4
