method,seed,step,episode,episode_return,total_cost,n_served,n_customers,terminated,truncated,n_on_time,n_waited,n_late
gnn_ppo,42-46,512,25,-86.00150232767399,30.001502327673983,15.0,15,1.0,0.0,4.8,2.6,7.6
gnn_ppo,42-46,1024,51,-84.282682038471,30.282682038470988,15.0,15,1.0,0.0,5.2,2.4,7.4
gnn_ppo,42-46,1536,78,-67.371823389565,21.371823389564994,15.0,15,1.0,0.0,5.8,2.6,6.6
gnn_ppo,42-46,2048,104,-65.96281094680953,21.96281094680952,15.0,15,1.0,0.0,6.2,2.4,6.4
gnn_ppo,42-46,2560,131,-65.15800350433021,21.158003504330217,15.0,15,1.0,0.0,5.8,2.8,6.4
gnn_ppo,42-46,3072,157,-61.26866568113039,21.268665681130393,15.0,15,1.0,0.0,6.4,2.6,6.0
gnn_ppo,42-46,3584,183,-62.462012868628754,22.46201286862875,15.0,15,1.0,0.0,5.8,3.2,6.0
gnn_ppo,42-46,4096,210,-59.68995736392041,15.689957363920414,15.0,15,1.0,0.0,5.8,2.8,6.4
gnn_ppo,42-46,4608,237,-80.95861960389693,20.95861960389694,15.0,15,1.0,0.0,5.0,2.0,8.0
gnn_ppo,42-46,5120,264,-82.03322514840666,22.033225148406654,15.0,15,1.0,0.0,5.6,1.4,8.0
gnn_ppo,42-46,5632,291,-87.51466369441657,23.514663694416566,15.0,15,1.0,0.0,5.0,1.6,8.4
gnn_ppo,42-46,6144,317,-70.27132562142137,20.271325621421376,15.0,15,1.0,0.0,6.2,1.8,7.0
gnn_ppo,42-46,6656,345,-66.00929082403539,20.0092908240354,15.0,15,1.0,0.0,5.6,2.8,6.6
gnn_ppo,42-46,7168,371,-52.42452339256814,20.42452339256814,15.0,15,1.0,0.0,6.2,3.6,5.2
gnn_ppo,42-46,7680,398,-54.37506537025954,20.375065370259538,15.0,15,1.0,0.0,6.2,3.4,5.4
gnn_ppo,42-46,8192,424,-36.10147680473921,22.101476804739207,15.0,15,1.0,0.0,7.8,3.8,3.4
gnn_ppo,42-46,8704,451,-26.47624834828924,22.47624834828924,15.0,15,1.0,0.0,8.0,4.6,2.4
gnn_ppo,42-46,9216,478,-42.93644631317078,26.93644631317078,15.0,15,1.0,0.0,7.4,4.0,3.6
gnn_ppo,42-46,9728,505,-30.417091048608267,22.417091048608263,15.0,15,1.0,0.0,7.8,4.4,2.8
gnn_ppo,42-46,10240,531,-17.70436936804221,21.70436936804221,15.0,15,1.0,0.0,8.4,5.0,1.6
gnn_ppo,42-46,10752,557,-17.201177099425642,23.201177099425642,15.0,15,1.0,0.0,9.2,4.4,1.4
gnn_ppo,42-46,11264,583,-11.273370013711972,21.273370013711972,15.0,15,1.0,0.0,8.2,5.8,1.0
gnn_ppo,42-46,11776,610,-20.519497419659633,22.519497419659633,15.0,15,1.0,0.0,7.6,5.6,1.8
gnn_ppo,42-46,12288,637,-28.443325240804036,24.443325240804036,15.0,15,1.0,0.0,8.2,4.4,2.4
gnn_ppo,42-46,12800,663,-27.09549730244466,23.09549730244466,15.0,15,1.0,0.0,8.0,4.6,2.4
gnn_ppo,42-46,13312,690,-24.09466486136889,24.094664861368894,15.0,15,1.0,0.0,8.8,4.2,2.0
gnn_ppo,42-46,13824,715,-32.697784737234414,22.69778473723441,15.0,15,1.0,0.0,7.0,5.0,3.0
gnn_ppo,42-46,14336,741,-14.706657478155734,22.706657478155734,15.0,15,1.0,0.0,9.4,4.4,1.2
gnn_ppo,42-46,14848,768,-19.609026621764993,23.609026621764993,15.0,15,1.0,0.0,9.2,4.2,1.6
gnn_ppo,42-46,15000,776,-39.73014528719578,23.730145287195786,15.0,15,1.0,0.0,7.4,4.0,3.6
