method,seed,step,episode,episode_return,total_cost,n_served,n_customers,terminated,truncated,n_on_time,n_waited,n_late
gnn_dqn,42,5000,0,-41.69088923721204,31.69088923721204,15,15,1,0,7.0,5.0,3.0
gnn_dqn,43,5000,1,-49.6500960093131,19.650096009313106,15,15,1,0,6.0,4.0,5.0
gnn_dqn,44,5000,2,-58.435476680676906,28.435476680676903,15,15,1,0,7.0,3.0,5.0
gnn_dqn,45,5000,3,-50.308247403223916,20.308247403223916,15,15,1,0,5.0,5.0,5.0
gnn_dqn,46,5000,4,-65.85376698187089,25.853766981870887,15,15,1,0,3.0,6.0,6.0
gnn_dqn,42,10000,0,-8.850298822279179,28.85029882227918,15,15,1,0,8.0,7.0,0.0
gnn_dqn,43,10000,1,-10.271557728827503,20.271557728827503,15,15,1,0,7.0,7.0,1.0
gnn_dqn,44,10000,2,-44.76029799315365,24.76029799315365,15,15,1,0,6.0,5.0,4.0
gnn_dqn,45,10000,3,-8.962705304350287,18.962705304350287,15,15,1,0,6.0,8.0,1.0
gnn_dqn,46,10000,4,-34.07121080278715,24.071210802787146,15,15,1,0,5.0,7.0,3.0
gnn_dqn,42,15000,0,-13.709127862525023,23.709127862525023,15,15,1,0,8.0,6.0,1.0
gnn_dqn,43,15000,1,3.673228595694617,16.326771404305383,15,15,1,0,7.0,8.0,0.0
gnn_dqn,44,15000,2,3.8291173230023787,16.17088267699762,15,15,1,0,10.0,5.0,0.0
gnn_dqn,45,15000,3,2.3631642895205083,17.63683571047949,15,15,1,0,5.0,10.0,0.0
gnn_dqn,46,15000,4,-9.73591532258959,19.73591532258959,15,15,1,0,4.0,10.0,1.0
gnn_dqn,42,20000,0,-12.475727737005023,22.475727737005023,15,15,1,0,7.0,7.0,1.0
gnn_dqn,43,20000,1,6.35721558559495,13.64278441440505,15,15,1,0,7.0,8.0,0.0
gnn_dqn,44,20000,2,-0.6608892831955337,20.660889283195534,15,15,1,0,9.0,6.0,0.0
gnn_dqn,45,20000,3,4.577603983516603,15.422396016483397,15,15,1,0,9.0,6.0,0.0
gnn_dqn,46,20000,4,-10.53316116698094,20.53316116698094,15,15,1,0,8.0,6.0,1.0
gnn_ppo,42,5120,0,-43.63984513959116,23.63984513959116,15,15,1,0,9.0,2.0,4.0
gnn_ppo,43,5120,1,-46.86697505493812,16.866975054938127,15,15,1,0,7.0,3.0,5.0
gnn_ppo,44,5120,2,-67.64246478044018,27.642464780440186,15,15,1,0,6.0,3.0,6.0
gnn_ppo,45,5120,3,-86.77646095651562,26.77646095651562,15,15,1,0,4.0,3.0,8.0
gnn_ppo,46,5120,4,-86.72417645777452,26.72417645777451,15,15,1,0,3.0,4.0,8.0
gnn_ppo,42,10240,0,-25.07282809607222,25.07282809607222,15,15,1,0,10.0,3.0,2.0
gnn_ppo,43,10240,1,-70.3344531166455,20.334453116645506,15,15,1,0,7.0,1.0,7.0
gnn_ppo,44,10240,2,-12.534409731370665,22.534409731370665,15,15,1,0,9.0,5.0,1.0
gnn_ppo,45,10240,3,-65.11993928591984,25.11993928591984,15,15,1,0,5.0,4.0,6.0
gnn_ppo,46,10240,4,-43.3007296549058,23.3007296549058,15,15,1,0,7.0,4.0,4.0
gnn_ppo,42,15000,0,-24.533580365309,24.533580365309,15,15,1,0,8.0,5.0,2.0
gnn_ppo,43,15000,1,-10.78000199623213,20.78000199623213,15,15,1,0,8.0,6.0,1.0
gnn_ppo,44,15000,2,-74.29650547472075,24.296505474720743,15,15,1,0,7.0,1.0,7.0
gnn_ppo,45,15000,3,-33.190108925532385,23.190108925532382,15,15,1,0,9.0,3.0,3.0
gnn_ppo,46,15000,4,-55.85052967418467,25.85052967418467,15,15,1,0,5.0,5.0,5.0
gnn_ppo,42,15360,0,-43.24408469795067,23.24408469795067,15,15,1,0,8.0,3.0,4.0
gnn_ppo,43,15360,1,-28.98212009689631,18.98212009689631,15,15,1,0,6.0,6.0,3.0
gnn_ppo,44,15360,2,-18.01636751676977,18.01636751676977,15,15,1,0,7.0,6.0,2.0
gnn_ppo,45,15360,3,-8.332980364831801,18.3329803648318,15,15,1,0,7.0,7.0,1.0
gnn_ppo,46,15360,4,-18.925068182703015,18.925068182703015,15,15,1,0,7.0,6.0,2.0
gnn_ppo,42,20000,0,-9.985917334697938,29.985917334697938,15,15,1,0,9.0,6.0,0.0
gnn_ppo,43,20000,1,-23.101956100763957,23.101956100763957,15,15,1,0,9.0,4.0,2.0
gnn_ppo,44,20000,2,-6.239659785267214,26.239659785267214,15,15,1,0,8.0,7.0,0.0
gnn_ppo,45,20000,3,-6.239921584277237,16.239921584277237,15,15,1,0,10.0,4.0,1.0
gnn_ppo,46,20000,4,-12.049323084694617,22.049323084694617,15,15,1,0,9.0,5.0,1.0
